session_id,timestamp,round,target_word,target_token_id,guess_word,guess_token_id,distance,round_score,total_score
20250611_162734,2025-06-11T16:27:58.861902,1,big,25934,fat,49468,23534,0,0
20250611_162734,2025-06-11T16:28:05.208399,1,big,25934,1,16,25918,0,0
